tradingDate,open,high,low,close,volume
2020-01-30,42.16,43.39,41.2,42.72,435085500.0
2020-01-31,42.67,43.53,42.17,43.37,235789500.0
2020-02-03,44.91,52.41,44.9,52.0,705975000.0
2020-02-04,58.86,64.6,55.59,59.14,914082000.0
2020-02-05,54.88,56.4,46.94,48.98,726357000.0
2020-02-06,46.66,53.06,45.8,49.93,598212000.0
2020-02-07,48.7,51.32,48.67,49.87,255952500.0
2020-02-10,53.33,54.67,50.16,51.42,370338000.0
2020-02-11,51.25,52.23,50.53,51.63,175462500.0
2020-02-12,51.86,52.65,50.89,51.15,180337500.0
2020-02-13,49.46,54.53,49.0,53.6,394339500.0
2020-02-14,52.48,54.2,52.37,53.34,235405500.0
2020-02-18,56.11,57.33,55.49,57.23,245725500.0
2020-02-19,61.57,62.99,60.07,61.16,381345000.0
2020-02-20,60.8,60.8,57.33,59.96,264523500.0
2020-02-21,60.47,60.87,58.7,60.07,214722000.0
2020-02-24,55.93,57.57,54.81,55.59,227883000.0
2020-02-25,56.6,57.11,52.47,53.33,259357500.0
2020-02-26,52.17,54.22,51.74,51.92,211282500.0
2020-02-27,48.67,49.32,44.6,45.27,364158000.0
2020-02-28,41.98,46.03,40.77,44.53,363343500.0
2020-03-02,47.42,49.58,45.78,49.57,302925000.0
2020-03-03,53.67,53.8,47.74,49.7,386760000.0
2020-03-04,50.93,51.1,48.32,49.97,225735000.0
2020-03-05,48.25,49.72,47.87,48.3,162790500.0
2020-03-06,46.0,47.13,45.62,46.9,189943500.0
2020-03-09,40.36,44.2,40.33,40.53,256105500.0
2020-03-10,43.96,44.53,40.53,43.02,233916000.0
2020-03-11,42.68,43.57,40.87,42.28,199837500.0
2020-03-12,38.73,39.63,36.42,37.37,283636500.0
2020-03-13,39.67,40.5,33.47,36.44,339604500.0
2020-03-16,31.3,32.99,29.48,29.67,307342500.0
2020-03-17,29.33,31.46,26.4,28.68,359919000.0
2020-03-18,25.93,26.99,23.37,24.08,356793000.0
2020-03-19,24.98,30.13,23.9,28.51,452932500.0
2020-03-20,29.21,31.8,28.39,28.5,424282500.0
2020-03-23,28.91,29.47,27.37,28.95,246817500.0
2020-03-24,31.82,34.25,31.6,33.67,343428000.0
2020-03-25,36.35,37.13,34.07,35.95,318340500.0
2020-03-26,36.49,37.33,34.15,35.21,260710500.0
2020-03-27,33.67,35.05,32.94,34.29,215661000.0
2020-03-30,34.02,34.44,32.75,33.48,179971500.0
2020-03-31,33.42,36.2,33.13,34.93,266572500.0
2020-04-01,33.6,34.26,31.67,32.1,200298000.0
2020-04-02,32.07,32.95,29.76,30.3,297876000.0
2020-04-03,33.97,34.37,31.23,32.0,338431500.0
2020-04-06,34.08,34.73,33.2,34.42,223527000.0
2020-04-07,36.33,37.67,35.49,36.36,268797000.0
2020-04-08,36.95,37.15,35.56,36.59,189840000.0
2020-04-09,37.47,38.35,37.14,38.2,204750000.0
2020-04-13,39.34,43.47,38.7,43.4,337131000.0
2020-04-14,46.6,49.46,46.16,47.33,458647500.0
2020-04-15,49.47,50.21,47.33,48.66,353655000.0
2020-04-16,47.8,50.63,47.11,49.68,309868500.0
2020-04-17,51.49,51.66,49.84,50.26,196923000.0
2020-04-20,48.85,51.04,47.48,49.76,221199000.0
2020-04-21,48.67,50.22,44.92,45.78,303136500.0
2020-04-22,46.93,48.93,45.91,48.81,212482500.0
2020-04-23,48.51,48.93,46.88,47.04,198550500.0
2020-04-24,47.39,48.72,46.55,48.34,198180000.0
2020-04-27,49.17,53.3,49.0,53.25,310221000.0
2020-04-28,53.04,53.67,50.45,51.27,228330000.0
