tradingDate,open,high,low,close,volume
2023-01-30,178.05,179.77,166.5,166.66,230878800.0
2023-01-31,164.57,174.3,162.78,173.22,196813500.0
2023-02-01,173.89,183.81,169.93,181.41,213806300.0
2023-02-02,187.33,196.75,182.61,188.27,217448300.0
2023-02-03,183.95,199.0,183.69,189.98,232662000.0
2023-02-06,193.01,198.17,189.92,194.76,186188100.0
2023-02-07,196.43,197.5,189.55,196.81,186010300.0
2023-02-08,196.1,203.0,194.31,201.29,180673600.0
2023-02-09,207.78,214.0,204.77,207.32,215431400.0
2023-02-10,202.23,206.2,192.89,196.89,204754100.0
2023-02-13,194.42,196.3,187.61,194.64,172475500.0
2023-02-14,191.94,209.82,189.44,209.25,216455700.0
2023-02-15,211.76,214.66,206.11,214.24,181006400.0
2023-02-16,210.78,217.65,201.84,202.04,229586500.0
2023-02-17,199.99,208.44,197.5,208.31,213738500.0
2023-02-21,204.99,209.71,197.22,197.37,180018600.0
2023-02-22,197.93,201.99,191.78,200.86,191828500.0
2023-02-23,203.91,205.14,196.33,202.07,146360000.0
2023-02-24,196.33,197.67,192.8,196.88,142228100.0
2023-02-27,202.03,209.42,201.26,207.63,161028300.0
2023-02-28,210.59,211.23,203.75,205.71,153144900.0
2023-03-01,206.21,207.2,198.52,202.77,156852800.0
2023-03-02,186.74,193.75,186.01,190.9,181500700.0
2023-03-03,194.8,200.48,192.88,197.79,154193300.0
2023-03-06,198.54,198.6,192.3,193.81,128100100.0
2023-03-07,191.38,194.2,186.1,187.71,148125800.0
2023-03-08,185.04,186.5,180.0,182.0,151897800.0
2023-03-09,180.25,185.18,172.51,172.92,170023800.0
2023-03-10,175.13,178.29,168.44,173.44,191488900.0
2023-03-13,167.46,177.35,163.91,174.48,167790300.0
2023-03-14,177.31,183.8,177.14,183.26,143717900.0
2023-03-15,180.8,182.34,176.03,180.45,145995600.0
2023-03-16,180.37,185.81,178.84,184.13,121136800.0
2023-03-17,184.52,186.22,177.33,180.13,133197100.0
2023-03-20,178.08,186.44,176.35,183.25,129684400.0
2023-03-21,188.28,198.0,188.04,197.58,153391400.0
2023-03-22,199.3,200.66,190.95,191.15,150376400.0
2023-03-23,195.26,199.31,188.65,192.22,144193900.0
2023-03-24,191.65,192.36,187.15,190.41,116312400.0
2023-03-27,194.42,197.39,189.94,191.81,120851600.0
2023-03-28,192.0,192.35,185.43,189.19,98654600.0
2023-03-29,193.13,195.29,189.44,193.88,123660000.0
2023-03-30,195.58,197.33,194.42,195.28,110252200.0
2023-03-31,197.53,207.79,197.2,207.46,170222100.0
2023-04-03,199.91,202.69,192.2,194.77,169545900.0
2023-04-04,197.32,198.74,190.32,192.58,126463800.0
2023-04-05,190.52,190.68,183.76,185.52,133882500.0
2023-04-06,183.08,186.39,179.74,185.06,123857900.0
2023-04-10,179.94,185.1,176.11,184.51,142154600.0
2023-04-11,186.69,189.19,185.65,186.79,115770900.0
2023-04-12,190.74,191.58,180.31,180.54,150256300.0
2023-04-13,182.96,186.5,180.94,185.9,112933000.0
2023-04-14,183.95,186.28,182.01,185.0,96438700.0
2023-04-17,186.32,189.69,182.69,187.04,116662200.0
2023-04-18,187.15,187.69,183.58,184.31,92067000.0
2023-04-19,179.1,183.5,177.65,180.59,125732700.0
2023-04-20,166.17,169.7,160.56,162.99,210970800.0
2023-04-21,164.8,166.0,161.32,165.08,123539000.0
2023-04-24,164.65,165.65,158.61,162.55,140006600.0
2023-04-25,159.82,163.47,158.75,160.67,121999300.0
2023-04-26,160.29,160.67,153.14,153.75,153364100.0
2023-04-27,152.64,160.48,152.37,160.19,127015200.0
2023-04-28,160.9,165.0,157.32,164.31,122515800.0
2023-05-01,163.17,163.28,158.83,161.83,109015000.0
2023-05-02,161.88,165.49,158.93,160.31,128259700.0
2023-05-03,160.01,165.0,159.91,160.61,119728000.0
2023-05-04,162.71,162.95,159.65,161.2,95108500.0
2023-05-05,163.97,170.79,163.51,170.06,107440900.0
2023-05-08,173.72,173.8,169.19,171.79,112249400.0
2023-05-09,168.95,169.82,166.56,169.15,88965000.0
2023-05-10,172.55,174.43,166.68,168.54,119840700.0
2023-05-11,168.7,173.57,166.79,172.08,103889900.0
2023-05-12,176.07,177.38,167.23,167.98,157577100.0
2023-05-15,167.66,169.76,164.55,166.35,105592500.0
2023-05-16,165.65,169.52,164.35,166.52,98288800.0
2023-05-17,168.41,174.5,167.19,173.86,125473600.0
2023-05-18,174.22,177.06,172.45,176.89,109520300.0
2023-05-19,177.17,181.95,176.31,180.14,136024200.0
2023-05-22,180.7,189.32,180.11,188.87,132001400.0
2023-05-23,186.2,192.96,185.26,185.77,156952100.0
2023-05-24,182.23,184.22,178.22,182.9,137605100.0
2023-05-25,186.54,186.78,180.58,184.47,96870700.0
2023-05-26,184.62,198.6,184.53,193.17,162061500.0
2023-05-30,200.1,204.48,197.53,201.16,128818700.0
2023-05-31,199.78,203.95,195.12,203.93,150711700.0
2023-06-01,202.59,209.8,199.37,207.52,148029900.0
2023-06-02,210.15,217.25,209.75,213.97,164129000.0
2023-06-05,217.8,221.29,214.52,217.61,151143100.0
2023-06-06,216.14,221.91,212.53,221.31,146911600.0
2023-06-07,228.0,230.83,223.2,224.57,185710800.0
2023-06-08,224.22,235.23,223.01,234.86,164489700.0
2023-06-09,249.07,252.42,242.02,244.4,199882300.0
2023-06-12,247.94,250.97,244.59,249.83,150337900.0
2023-06-13,253.51,259.68,251.34,258.71,162384300.0
2023-06-14,260.17,261.57,250.5,256.79,170575500.0
2023-06-15,248.4,258.95,247.29,255.9,160171200.0
2023-06-16,258.92,263.6,257.21,260.54,167563700.0
2023-06-20,261.5,274.75,261.12,274.45,165611200.0
2023-06-21,275.13,276.99,257.78,259.46,211797100.0
2023-06-22,250.77,265.0,248.25,264.61,166875900.0
2023-06-23,259.29,262.45,252.8,256.6,176584100.0
2023-06-26,250.07,258.37,240.7,241.05,179990600.0
2023-06-27,243.24,250.39,240.85,250.21,164968200.0
2023-06-28,249.7,259.88,248.89,256.24,159770800.0
2023-06-29,258.03,260.74,253.61,257.5,131283400.0
2023-06-30,260.6,264.45,259.89,261.77,112267600.0
2023-07-03,276.49,284.25,275.11,279.82,119685900.0
2023-07-05,278.82,283.85,277.6,282.48,131530900.0
2023-07-06,278.09,279.97,272.88,276.54,120332100.0
2023-07-07,278.43,280.78,273.77,274.43,113602000.0
2023-07-10,276.47,277.52,265.1,269.61,119425400.0
2023-07-11,268.65,270.9,266.37,269.79,91972400.0
2023-07-12,276.33,276.52,271.46,271.99,95672100.0
2023-07-13,274.59,279.45,270.6,277.9,112681500.0
2023-07-14,277.01,285.3,276.31,281.38,119771100.0
2023-07-17,286.63,292.23,283.57,290.38,131569600.0
2023-07-18,290.15,295.26,286.01,293.34,112434700.0
2023-07-19,296.04,299.29,289.52,291.26,142355400.0
2023-07-20,279.56,280.93,261.2,262.9,175158300.0
2023-07-21,268.0,268.0,255.8,260.02,161050100.0
2023-07-24,255.85,269.85,254.12,269.06,136508500.0
2023-07-25,272.38,272.9,265.0,265.28,112757300.0
2023-07-26,263.25,268.04,261.75,264.35,95856200.0
2023-07-27,268.31,269.13,255.3,255.71,103697300.0
2023-07-28,259.86,267.25,258.23,266.44,111446000.0
2023-07-31,267.48,269.08,263.78,267.43,84582200.0
2023-08-01,266.26,266.47,260.25,261.07,83166000.0
2023-08-02,255.57,259.52,250.49,254.11,101752900.0
2023-08-03,252.04,260.49,252.0,259.32,97569100.0
