tradingDate,open,high,low,close,volume
2023-01-30,18.82,20.35,18.3,18.76,9936800.0
2023-01-31,20.4,20.7,17.61,18.68,11031200.0
2023-02-01,18.36,20.43,18.34,20.2,7432300.0
2023-02-02,21.5,26.35,21.5,23.85,17585000.0
2023-02-03,21.64,24.18,21.55,22.1,8204300.0
2023-02-06,21.36,21.85,20.4,21.04,5186600.0
2023-02-07,21.04,21.18,19.43,20.5,6083800.0
2023-02-08,20.48,21.3,18.94,18.96,6310900.0
2023-02-09,18.03,18.45,16.5,16.53,9719100.0
2023-02-10,16.4,16.65,15.75,16.31,5916200.0
2023-02-13,16.21,16.25,15.48,16.09,5915500.0
2023-02-14,15.75,17.3,15.28,16.85,14872800.0
2023-02-15,18.51,21.97,18.2,21.59,29305400.0
2023-02-16,20.27,20.74,18.82,18.93,9925700.0
2023-02-17,18.55,19.29,17.7,18.32,6788900.0
2023-02-21,17.74,18.58,17.46,18.55,4071300.0
2023-02-22,18.47,20.31,18.01,18.57,7294800.0
2023-02-23,19.02,19.17,17.58,18.52,4389700.0
2023-02-24,17.95,18.42,17.62,18.04,3767100.0
2023-02-27,18.23,18.33,17.48,18.25,3744700.0
2023-02-28,18.06,19.38,18.06,18.51,5325600.0
2023-03-01,18.67,18.74,17.62,17.93,3828800.0
2023-03-02,17.47,17.74,16.51,17.67,5783200.0
2023-03-03,18.0,19.09,17.73,18.82,4792500.0
2023-03-06,19.19,19.9,18.57,18.6,4486100.0
2023-03-07,18.15,18.89,17.34,17.39,4416900.0
2023-03-08,17.5,17.84,17.05,17.62,2953600.0
2023-03-09,17.34,17.56,16.2,16.22,5317300.0
2023-03-10,15.95,16.01,15.01,15.51,5664600.0
2023-03-13,15.18,15.76,14.32,15.27,5206900.0
2023-03-14,16.08,16.33,14.33,14.63,6253600.0
2023-03-15,14.16,15.36,14.02,15.17,7599200.0
2023-03-16,14.86,15.81,14.52,15.8,5882700.0
2023-03-17,15.74,16.04,14.93,15.23,3569400.0
2023-03-20,15.16,15.21,13.92,14.17,5252100.0
2023-03-21,14.6,15.53,14.32,15.21,4845400.0
2023-03-22,15.32,15.69,14.1,14.11,5516900.0
2023-03-23,14.36,14.78,13.1,13.58,7572500.0
2023-03-24,13.4,13.58,12.85,12.94,6995300.0
2023-03-27,13.32,13.33,12.84,13.13,3751300.0
2023-03-28,13.05,13.3,12.72,12.99,4049200.0
2023-03-29,13.29,13.8,13.21,13.74,3950300.0
2023-03-30,13.93,14.49,13.63,14.19,4055700.0
2023-03-31,14.38,15.94,14.2,15.89,10383200.0
2023-04-03,15.7,16.43,15.56,16.34,5469200.0
2023-04-04,16.25,16.46,15.57,16.07,3504300.0
2023-04-05,15.66,16.92,15.6,16.8,6232900.0
2023-04-06,16.62,17.37,16.12,16.98,4623500.0
2023-04-10,16.7,17.25,16.43,17.18,2990600.0
2023-04-11,16.99,17.75,16.9,17.74,4186200.0
2023-04-12,18.29,18.29,16.33,16.39,5609800.0
2023-04-13,16.66,17.13,15.71,15.77,3513100.0
2023-04-14,15.84,16.35,14.91,15.4,3941500.0
2023-04-17,15.45,15.62,14.96,15.47,2466400.0
2023-04-18,15.5,15.76,15.18,15.64,1878600.0
2023-04-19,15.4,15.93,15.31,15.77,1802000.0
2023-04-20,15.45,15.61,15.15,15.29,2288400.0
2023-04-21,15.17,15.39,14.97,15.02,2287100.0
2023-04-24,15.0,15.2,14.52,14.82,2000100.0
2023-04-25,14.7,14.99,14.48,14.51,2130400.0
2023-04-26,14.63,15.04,14.13,14.31,2009900.0
2023-04-27,14.37,14.91,14.14,14.47,2709200.0
2023-04-28,14.47,14.7,13.77,13.9,4463300.0
2023-05-01,13.84,14.05,12.92,12.98,6968800.0
2023-05-02,12.88,13.02,12.01,12.1,6946800.0
2023-05-03,12.12,12.87,11.93,12.21,5170600.0
2023-05-04,12.19,12.71,12.01,12.46,3566500.0
2023-05-05,12.62,13.39,12.62,13.24,5265200.0
2023-05-08,13.25,13.72,12.94,13.38,3981000.0
2023-05-09,13.17,14.13,13.0,14.09,15239200.0
2023-05-10,19.64,19.78,17.48,18.97,29984000.0
2023-05-11,19.15,19.5,16.69,16.77,10169200.0
2023-05-12,17.0,17.01,15.88,16.39,4982100.0
2023-05-15,16.23,20.64,16.13,20.26,18967600.0
2023-05-16,20.0,20.4,18.75,19.38,9840500.0
2023-05-17,19.4,22.23,19.4,21.39,14206600.0
2023-05-18,21.65,24.9,21.56,24.59,17978900.0
2023-05-19,24.62,24.89,22.68,23.05,10271100.0
2023-05-22,23.38,29.36,22.93,27.65,24507700.0
2023-05-23,27.39,29.99,25.91,25.98,20129100.0
2023-05-24,25.2,26.88,24.78,26.65,12570500.0
2023-05-25,27.83,27.9,23.59,23.73,14088000.0
2023-05-26,23.62,25.33,23.5,24.87,8174000.0
2023-05-30,25.62,29.41,25.1,29.09,12167600.0
2023-05-31,28.65,29.25,26.82,27.24,8496100.0
2023-06-01,26.62,32.02,25.88,29.75,16560300.0
2023-06-02,30.81,31.14,28.81,29.57,9928600.0
2023-06-05,29.57,30.68,28.02,28.23,6937500.0
2023-06-06,27.86,31.65,27.48,31.08,11069200.0
2023-06-07,31.78,32.5,28.39,28.54,13239600.0
2023-06-08,28.98,33.42,28.03,32.76,16162000.0
2023-06-09,32.38,33.86,31.2,32.09,10058400.0
2023-06-12,32.66,34.86,32.45,33.72,10127500.0
2023-06-13,34.74,37.04,33.86,36.97,13273300.0
2023-06-14,37.5,38.62,34.92,37.03,15542800.0
2023-06-15,36.0,38.24,35.16,37.7,10957700.0
2023-06-16,38.3,38.84,36.83,37.24,8120400.0
2023-06-20,36.75,37.67,33.09,33.39,9803400.0
2023-06-21,33.36,33.65,30.63,31.72,9462700.0
2023-06-22,31.0,33.09,30.4,31.99,6583900.0
2023-06-23,30.51,31.11,28.99,30.12,15888800.0
2023-06-26,30.08,31.33,29.52,30.2,5603500.0
2023-06-27,30.99,33.79,30.3,33.64,8173500.0
2023-06-28,32.9,35.91,32.78,34.84,8520600.0
2023-06-29,35.27,37.08,34.35,35.51,8593800.0
2023-06-30,36.78,37.69,34.86,35.81,8108600.0
2023-07-03,35.66,38.49,35.64,38.19,6119800.0
2023-07-05,37.87,39.65,37.11,38.86,7480700.0
2023-07-06,37.27,37.57,34.38,36.64,8744600.0
2023-07-07,36.32,38.67,36.2,36.7,6224300.0
2023-07-10,37.17,41.27,35.7,41.24,9941600.0
2023-07-11,41.43,44.59,40.23,43.11,13187500.0
2023-07-12,44.63,44.91,42.05,44.08,8648900.0
2023-07-13,44.06,47.9,43.53,47.4,8546100.0
2023-07-14,47.45,48.9,45.24,46.53,8747800.0
2023-07-17,46.27,53.87,45.58,52.91,13609600.0
2023-07-18,52.15,55.94,51.87,53.95,12425300.0
2023-07-19,55.26,61.5,54.89,58.4,23116100.0
2023-07-20,56.3,58.4,53.4,55.39,12863500.0
2023-07-21,56.75,57.75,52.35,54.17,8786300.0
2023-07-24,54.15,55.75,52.14,53.64,6420100.0
2023-07-25,55.16,65.98,54.71,62.99,24504000.0
2023-07-26,62.38,65.64,61.62,64.16,11940300.0
2023-07-27,66.25,67.22,57.43,58.94,15001600.0
2023-07-28,61.41,65.61,60.25,65.18,11789900.0
2023-07-31,67.0,68.92,65.08,68.69,12304300.0
2023-08-01,67.16,72.58,65.46,72.09,12473100.0
2023-08-02,69.07,71.05,64.82,67.99,11154400.0
2023-08-03,66.94,71.08,65.54,68.21,8092000.0
2023-08-04,68.16,68.21,59.51,60.72,13559400.0
2023-08-07,60.5,60.5,51.61,51.97,14754300.0
2023-08-08,48.23,53.6,46.3,51.75,16934000.0
2023-08-09,42.78,44.0,33.35,34.03,34562100.0
2023-08-10,33.3,36.5,32.03,32.05,22537700.0
2023-08-11,31.58,33.79,30.82,33.5,15330400.0
2023-08-14,33.35,35.1,32.2,34.82,11575900.0
2023-08-15,34.74,35.71,32.95,33.11,9940800.0
2023-08-16,32.5,33.87,32.23,32.38,7346400.0
2023-08-17,32.41,32.71,30.52,31.78,8999900.0
2023-08-18,30.6,32.62,30.4,32.09,6234600.0
2023-08-21,32.37,33.85,31.75,33.34,6152700.0
2023-08-22,34.27,34.53,32.1,32.57,6484300.0
2023-08-23,32.25,33.27,31.61,32.57,6147100.0
2023-08-24,33.05,33.21,29.93,30.37,6810500.0
2023-08-25,30.41,31.41,29.34,29.89,5832000.0
2023-08-28,30.08,30.64,29.3,29.48,4186200.0
2023-08-29,29.34,32.45,28.81,32.0,8040800.0
2023-08-30,32.16,33.95,31.19,33.33,7636600.0
2023-08-31,33.33,34.09,31.64,32.17,5789800.0
2023-09-01,32.62,34.25,32.01,32.95,5146300.0
2023-09-05,32.53,33.63,32.03,33.5,4274100.0
2023-09-06,33.4,35.57,32.18,32.61,7717900.0
2023-09-07,31.85,32.16,29.46,31.78,6394822.0
2023-09-08,31.67,32.37,30.35,30.57,4365366.0
2023-09-11,31.09,31.5743,29.93,30.16,5584270.0
2023-09-12,29.55,32.13,29.38,31.34,6824294.0
2023-09-13,31.48,32.0401,30.22,30.26,4965394.0
2023-09-14,30.46,31.195,29.8924,30.05,5025237.0
2023-09-15,29.87,30.05,29.0201,29.64,5079972.0
2023-09-18,29.5,29.53,28.66,28.93,3619120.0
2023-09-19,28.7,29.15,27.85,28.53,4531102.0
2023-09-20,29.21,30.25,27.81,27.84,5471060.0
2023-09-21,26.76,27.45,25.92,27.09,5490916.0
2023-09-22,27.39,27.9,26.16,26.55,4071368.0
2023-09-25,26.0,26.965,25.85,26.87,3308340.0
2023-09-26,26.37,27.1399,26.08,26.74,3979131.0
2023-09-27,27.19,27.97,26.19,26.93,5312239.0
2023-09-28,26.94,28.06,26.19,27.59,5513007.0
2023-09-29,28.22,29.61,28.14,28.54,5879439.0
2023-10-02,28.74,29.0387,27.37,27.56,4105162.0
2023-10-03,26.93,27.3599,25.95,26.16,4060985.0
2023-10-04,26.48,27.11,25.73,26.86,3056271.0
2023-10-05,26.41,27.2613,25.66,26.83,3729023.0
2023-10-06,25.6,27.7469,25.05,27.55,5849762.0
2023-10-09,26.73,28.57,26.73,28.445,2948479.0
2023-10-10,28.75,30.4,28.74,29.41,4454417.0
2023-10-11,29.95,30.432,28.56,29.01,4376313.0
2023-10-12,29.21,29.2758,27.59,27.74,4043540.0
2023-10-13,27.8,28.15,26.51,27.13,2882172.0
2023-10-16,27.35,29.22,26.94,28.97,4016264.0
2023-10-17,28.5,29.5997,28.34,29.17,3250607.0
2023-10-18,28.62,29.0399,26.51,26.8,4472173.0
2023-10-19,26.62,27.4,26.22,26.68,4105853.0
2023-10-20,26.43,26.78,24.5991,24.69,5198157.0
2023-10-23,23.97,25.1473,23.12,24.37,4144704.0
2023-10-24,24.56,25.8972,24.42,24.58,4445162.0
2023-10-25,24.02,24.08,22.53,23.01,4657723.0
2023-10-26,23.0,23.7,22.36,23.14,4123057.0
2023-10-27,23.5,23.73,22.82,23.03,3032495.0
2023-10-30,23.7,24.43,22.72,23.32,3594652.0
2023-10-31,23.4,24.53,23.2578,24.03,3290897.0
2023-11-01,24.2,24.67,23.46,24.59,3113919.0
2023-11-02,26.03,27.47,25.64,27.43,6892037.0
2023-11-03,28.51,30.58,28.3,30.32,8681475.0
2023-11-06,31.0,31.43,28.344,29.3,8395295.0
2023-11-07,29.35,30.2,28.79,29.41,11295293.0
2023-11-08,21.28,22.71,20.72,21.38,22941570.0
2023-11-09,21.8,22.73,20.95,21.12,12245819.0
2023-11-10,21.21,21.32,19.84,20.87,7918554.0
2023-11-13,20.57,21.95,20.2501,21.84,4687735.0
2023-11-14,23.22,25.6211,22.82,25.43,12078121.0
2023-11-15,25.5,27.28,24.65,26.0,9661294.0
2023-11-16,25.6,25.6106,23.7601,24.27,5640975.0
2023-11-17,24.68,25.68,23.8501,25.58,5235934.0
2023-11-20,25.762,26.36,25.13,25.99,5422248.0
2023-11-21,25.51,25.76,23.705,23.78,5137118.0
2023-11-22,24.12,24.5999,23.356,23.48,4299929.0
2023-11-24,23.3,23.751,22.89,23.73,2392501.0
2023-11-27,23.8,25.105,23.48,24.34,5961160.0
2023-11-28,24.21,26.23,23.62,26.17,6943554.0
2023-11-29,26.7,27.9653,26.39,26.54,8705657.0
2023-11-30,26.65,27.7,25.61,26.76,7846686.0
2023-12-01,26.48,32.75,26.05,32.37,17615965.0
2023-12-04,31.51,34.41,31.25,34.29,15498882.0
2023-12-05,34.0,34.12,31.62,33.04,9879015.0
2023-12-06,33.89,37.33,33.85,34.16,16600511.0
2023-12-07,33.59,34.81,32.33,33.87,8585173.0
2023-12-08,33.66,37.48,33.36,36.92,13751072.0
2023-12-11,37.76,38.02,34.53,35.65,11922841.0
2023-12-12,35.56,36.99,34.05,35.5,8440634.0
2023-12-13,35.57,43.0,34.75,42.71,25055092.0
2023-12-14,45.0,46.9,43.26,45.24,26378269.0
2023-12-15,45.0,46.29,43.61,44.52,11408505.0
2023-12-18,43.83,48.09,43.33,45.82,15909442.0
2023-12-19,47.31,49.49,46.22,47.31,13440194.0
2023-12-20,47.05,49.62,43.31,43.63,15618499.0
2023-12-21,45.21,46.37,44.36,45.15,8442708.0
2023-12-22,46.0,47.02,43.51,44.16,10154782.0
2023-12-26,44.55,45.43,43.82,44.98,6959614.0
2023-12-27,45.74,47.41,44.25,46.92,13721138.0
2023-12-28,46.0,46.62,44.11,44.16,9755170.0
2023-12-29,44.11,44.49,39.78,40.86,14511205.0
2024-01-02,39.59,40.82,38.34,38.8,8003524.0
2024-01-03,36.32,37.51,34.75,34.81,10007587.0
2024-01-04,35.5,35.88,33.87,33.95,7417511.0
2024-01-05,33.0,35.02,32.7,33.24,7730001.0
2024-01-08,34.16,35.56,33.38,35.54,8228330.0
2024-01-09,34.99,35.87,34.56,34.86,6007710.0
2024-01-10,34.91,37.21,33.31,35.57,11726983.0
2024-01-11,34.34,35.15,32.21,33.23,11078091.0
