tradingDate,open,high,low,close,volume
2020-12-16,26.0,30.01,22.61,29.47,13459800.0
2020-12-17,28.64,39.85,28.25,35.77,7042200.0
2020-12-18,38.02,48.66,37.06,44.09,7266500.0
2020-12-21,44.0,47.99,40.0,41.1,2833800.0
2020-12-22,43.1,48.08,40.65,47.84,3727400.0
2020-12-23,47.5,51.4,43.02,46.32,3142400.0
2020-12-24,46.59,47.47,42.51,43.96,873100.0
2020-12-28,44.31,45.0,38.05,42.63,1882200.0
2020-12-29,42.04,42.49,39.51,40.75,646400.0
2020-12-30,41.2,41.5,38.11,38.87,1049500.0
2020-12-31,38.2,40.95,36.26,40.75,969000.0
2021-01-04,40.34,45.0,38.05,43.99,1347100.0
2021-01-05,45.1,53.63,44.2,48.37,3590700.0
2021-01-06,47.05,57.0,45.14,52.14,2903200.0
2021-01-07,55.99,61.26,55.04,55.39,1518900.0
2021-01-08,58.0,58.0,50.28,52.73,1407700.0
2021-01-11,51.0,56.0,50.53,54.71,1338200.0
2021-01-12,56.11,63.5,55.53,62.48,1829500.0
2021-01-13,60.61,69.48,57.7,57.88,1785600.0
2021-01-14,60.92,67.43,59.49,60.64,1288700.0
2021-01-15,60.64,62.6,55.6,56.0,1409500.0
2021-01-19,58.13,61.63,53.0,54.28,1872400.0
2021-01-20,54.51,56.22,53.25,55.22,935500.0
2021-01-21,55.05,65.29,55.05,63.77,1702400.0
2021-01-22,62.4,64.88,58.53,64.47,1241600.0
2021-01-25,65.0,72.67,64.01,67.36,1781000.0
2021-01-26,67.71,68.69,63.3,64.45,1506600.0
2021-01-27,60.07,70.8,58.0,64.7,1398400.0
2021-01-28,64.54,67.41,63.52,65.15,617800.0
2021-01-29,64.56,67.4,60.12,62.19,721700.0
2021-02-01,63.0,70.85,61.9,70.25,813000.0
2021-02-02,71.04,80.0,71.04,75.47,1061300.0
2021-02-03,76.93,81.91,76.51,79.75,854600.0
2021-02-04,80.55,81.09,74.19,75.75,718600.0
2021-02-05,76.14,79.78,74.01,75.24,542300.0
2021-02-08,77.34,78.34,74.1,76.0,712600.0
2021-02-09,75.92,82.75,75.52,80.25,902200.0
2021-02-10,80.91,91.39,78.71,91.04,1080800.0
2021-02-11,93.5,105.58,92.55,95.13,1433000.0
2021-02-12,93.0,102.21,92.62,102.18,646000.0
2021-02-16,104.77,105.0,90.27,92.28,1053900.0
2021-02-17,91.75,92.27,84.14,87.24,941800.0
2021-02-18,84.0,84.52,78.5,82.32,1016600.0
2021-02-19,83.75,93.0,83.5,89.73,753500.0
2021-02-22,87.3,89.49,75.06,77.01,1081700.0
2021-02-23,72.95,75.38,61.01,73.06,1703100.0
2021-02-24,73.74,83.29,72.01,74.51,985600.0
2021-02-25,74.08,79.62,66.08,68.52,1423200.0
2021-02-26,68.79,71.88,63.35,65.64,1558600.0
2021-03-01,66.78,73.46,65.87,66.65,1309100.0
2021-03-02,67.21,67.76,58.29,60.36,1772300.0
2021-03-03,61.7,63.01,55.6,57.58,1610300.0
2021-03-04,56.15,59.54,49.09,54.92,2218900.0
2021-03-05,54.54,55.29,42.51,51.16,2322100.0
2021-03-08,50.67,52.22,45.14,46.87,1382300.0
2021-03-09,49.4,55.45,49.05,53.24,2035200.0
2021-03-10,57.3,58.55,52.12,52.99,1540900.0
2021-03-11,54.75,59.55,54.05,59.24,1260700.0
2021-03-12,53.5,58.5,53.5,58.0,1130200.0
2021-03-15,58.89,63.01,56.83,62.93,1432500.0
2021-03-16,62.27,64.5,56.85,60.05,1266400.0
2021-03-17,56.78,62.26,54.5,60.79,2762900.0
2021-03-18,83.54,124.75,81.96,115.09,21497900.0
2021-03-19,108.0,128.8,106.6,125.28,8769700.0
2021-03-22,127.94,165.66,124.05,164.87,8566600.0
2021-03-23,159.97,164.06,115.58,118.48,11899100.0
2021-03-24,121.88,134.16,110.11,112.28,5499400.0
2021-03-25,106.3,130.36,105.95,123.73,3820900.0
2021-03-26,125.0,144.86,118.25,142.95,3260400.0
2021-03-29,140.8,156.93,132.53,134.49,2652400.0
2021-03-30,133.48,137.61,122.6,129.28,1521900.0
2021-03-31,131.63,137.79,128.0,128.86,1137700.0
2021-04-01,133.94,147.48,133.0,144.28,1871600.0
2021-04-05,147.71,156.27,136.0,140.52,2029200.0
2021-04-06,140.29,145.78,138.06,144.3,1018700.0
2021-04-07,136.55,138.97,123.81,126.07,2674500.0
2021-04-08,128.51,128.98,119.18,123.33,2548900.0
2021-04-09,122.0,134.0,118.0,127.29,4545400.0
2021-04-12,127.75,127.95,111.2,112.46,2891100.0
2021-04-13,111.88,114.27,102.69,110.46,3733100.0
2021-04-14,110.23,115.56,104.3,104.51,2062500.0
2021-04-15,109.29,116.96,105.69,110.4,2347300.0
2021-04-16,111.08,111.23,103.0,104.65,1584800.0
2021-04-19,104.42,104.42,93.62,97.55,2723600.0
2021-04-20,96.33,101.0,90.38,91.79,1626200.0
2021-04-21,91.4,101.34,89.33,100.61,1713100.0
2021-04-22,102.5,108.3,99.23,101.44,2104600.0
2021-04-23,102.98,111.95,102.46,107.38,2117700.0
2021-04-26,108.81,114.8,108.01,111.24,1936400.0
2021-04-27,114.94,123.09,112.3,116.33,2629900.0
2021-04-28,116.93,120.46,111.24,113.75,1648300.0
2021-04-29,115.7,116.0,103.0,108.56,2145300.0
2021-04-30,103.9,112.5,103.68,109.02,1199500.0
2021-05-03,111.12,117.99,105.73,114.2,1773500.0
2021-05-04,115.0,115.0,101.1,107.36,2081700.0
2021-05-05,109.15,109.15,97.5,98.19,1387400.0
2021-05-06,97.26,98.0,88.38,92.04,2312400.0
2021-05-07,96.47,100.86,94.2,95.97,1648200.0
2021-05-10,93.05,94.57,86.21,88.21,2291300.0
2021-05-11,83.43,89.49,81.2,89.44,3806700.0
2021-05-12,115.28,115.48,88.88,91.82,12764700.0
2021-05-13,96.25,97.87,80.85,84.05,5638200.0
2021-05-14,87.76,103.95,86.25,103.36,4400700.0
2021-05-17,100.01,115.9,96.01,115.0,4925000.0
2021-05-18,111.69,124.9,111.41,119.49,5006100.0
2021-05-19,110.75,136.74,108.41,132.91,6595300.0
2021-05-20,135.0,145.4,129.26,139.08,4889200.0
2021-05-21,140.6,156.24,137.38,153.85,4072500.0
2021-05-24,152.07,164.64,138.0,139.77,4718600.0
2021-05-25,141.76,146.72,132.56,133.7,2304400.0
2021-05-26,135.18,149.59,133.0,146.58,3491400.0
2021-05-27,145.16,171.87,138.62,166.83,5054100.0
2021-05-28,164.0,164.49,143.71,148.22,5253100.0
2021-06-01,150.0,155.21,136.0,144.49,3523100.0
2021-06-02,145.49,159.8,138.08,157.14,2793500.0
2021-06-03,150.5,172.25,145.15,164.83,6058700.0
2021-06-04,167.22,191.89,160.11,164.04,6401400.0
2021-06-07,169.72,178.0,164.2,170.0,3840500.0
2021-06-08,171.0,182.0,161.92,162.01,3756300.0
2021-06-09,164.07,167.5,150.28,152.43,4171100.0
2021-06-10,150.39,155.87,144.0,146.42,3922100.0
2021-06-11,143.28,143.64,125.0,125.5,10197700.0
2021-06-14,120.26,134.82,120.0,124.69,16323900.0
2021-06-15,125.77,126.97,117.43,123.03,7099300.0
2021-06-16,119.53,122.0,114.2,119.01,8832200.0
2021-06-17,120.95,128.3,119.36,126.31,9289300.0
2021-06-18,126.8,128.46,120.42,123.86,5368500.0
2021-06-21,125.5,125.72,118.43,121.35,4223300.0
2021-06-22,120.6,123.35,115.69,119.65,5954900.0
2021-06-23,120.3,125.75,119.41,125.14,5762200.0
2021-06-24,128.63,134.5,122.28,123.42,8849800.0
2021-06-25,124.4,125.0,117.77,122.2,4328000.0
2021-06-28,123.53,126.99,120.26,123.89,4051000.0
2021-06-29,125.0,125.5,120.77,122.93,2995500.0
2021-06-30,122.0,134.38,120.11,124.9,10763500.0
2021-07-01,126.0,130.88,122.68,123.92,5055900.0
2021-07-02,125.55,127.89,118.17,121.21,4128900.0
2021-07-06,122.04,123.48,115.89,120.0,3391600.0
2021-07-07,120.5,121.54,114.22,117.4,2895200.0
2021-07-08,112.57,121.68,110.82,119.75,2991400.0
2021-07-09,122.95,123.2,117.22,120.0,3218400.0
2021-07-12,123.62,130.9,122.76,129.9,6942300.0
2021-07-13,128.12,129.0,118.53,119.38,5274200.0
2021-07-14,121.0,121.0,112.02,113.13,3836000.0
2021-07-15,111.96,114.3,107.26,113.09,3463300.0
2021-07-16,115.29,115.9,109.51,113.79,2148700.0
2021-07-19,109.83,115.39,109.2,115.28,2504100.0
2021-07-20,116.92,118.3,113.14,117.63,1894500.0
2021-07-21,118.05,121.99,116.58,119.15,2123900.0
2021-07-22,120.0,120.75,115.3,116.91,1440200.0
2021-07-23,116.92,118.77,113.81,116.57,1327300.0
2021-07-26,116.79,123.5,115.6,121.82,1962100.0
2021-07-27,121.65,123.69,112.6,115.75,2360300.0
2021-07-28,117.31,122.64,116.38,121.79,1829200.0
2021-07-29,123.0,127.4,122.99,123.87,2836200.0
2021-07-30,121.05,125.25,120.36,120.76,1317700.0
2021-08-02,122.0,134.15,121.0,133.41,4736600.0
2021-08-03,133.81,139.41,125.06,128.68,3793900.0
2021-08-04,128.01,133.46,125.76,127.98,1862100.0
2021-08-05,128.14,137.4,124.3,133.17,5132300.0
2021-08-06,135.29,139.56,130.66,132.13,4450000.0
2021-08-09,134.9,140.03,133.48,137.19,3915600.0
2021-08-10,139.49,140.61,135.1,135.68,5023000.0
2021-08-11,166.82,172.0,156.77,171.2,17993600.0
2021-08-12,167.68,186.14,166.25,178.12,14085200.0
2021-08-13,187.82,205.19,184.5,203.29,14229600.0
2021-08-16,198.2,213.9,188.28,200.89,10637000.0
2021-08-17,190.65,208.49,190.16,200.18,7450200.0
2021-08-18,204.6,220.11,203.6,212.27,8752000.0
2021-08-19,210.15,213.99,192.51,193.87,7321700.0
2021-08-20,197.15,208.6,192.51,195.64,6125600.0
2021-08-23,201.24,206.47,198.88,202.96,4427800.0
2021-08-24,206.06,220.7,204.2,219.45,5521800.0
2021-08-25,218.85,223.82,214.09,214.14,3929400.0
2021-08-26,214.77,219.98,211.25,216.75,2380700.0
2021-08-27,218.06,224.49,212.09,223.18,2938500.0
2021-08-30,226.87,228.0,215.33,215.64,3462500.0
2021-08-31,215.54,230.38,215.32,229.12,3614300.0
2021-09-01,228.33,228.69,222.75,226.81,2525800.0
2021-09-02,227.52,245.39,227.52,239.8,4254900.0
2021-09-03,240.0,254.13,240.0,247.29,4561100.0
2021-09-07,250.35,271.0,249.1,262.7,5062200.0
2021-09-08,275.25,276.57,260.93,274.33,6904100.0
2021-09-09,270.6,291.25,262.09,289.6,6710600.0
2021-09-10,289.01,294.23,268.25,270.46,6401800.0
2021-09-13,270.79,280.0,259.01,278.0,4412400.0
2021-09-14,274.76,282.25,264.2,269.04,3986800.0
2021-09-15,268.1,279.47,261.28,279.09,4649100.0
2021-09-16,278.14,296.82,278.0,293.26,5304200.0
2021-09-17,298.0,308.78,292.86,303.32,9988900.0
2021-09-20,290.0,303.99,288.27,293.47,5458300.0
2021-09-21,297.64,329.47,294.42,320.77,8816700.0
2021-09-22,324.0,334.44,311.67,323.51,6209400.0
2021-09-23,328.77,346.54,324.0,336.34,5852600.0
2021-09-24,332.05,337.23,323.59,327.88,3796900.0
2021-09-27,328.5,342.27,319.18,331.99,4048000.0
2021-09-28,326.91,326.95,304.0,313.4,5090200.0
2021-09-29,319.01,332.1,317.33,320.0,4826700.0
2021-09-30,323.68,327.64,313.5,316.44,3394700.0
2021-10-01,311.83,315.57,285.55,298.77,5595700.0
2021-10-04,293.08,296.84,281.13,289.77,3515400.0
2021-10-05,294.61,303.99,288.65,296.3,3037500.0
2021-10-06,289.25,313.6,286.78,307.7,4922300.0
2021-10-07,315.5,323.59,304.0,307.38,3390000.0
2021-10-08,308.64,316.17,304.81,311.23,2258600.0
