tradingDate,open,high,low,close,volume
2020-01-30,80.14,81.02,79.69,80.97,126743232.0
2020-01-31,80.23,80.67,77.07,77.38,199588400.0
2020-02-03,76.08,78.37,75.56,77.17,173985604.0
2020-02-04,78.83,79.91,78.41,79.71,136616536.0
2020-02-05,80.88,81.19,79.74,80.36,118826872.0
2020-02-06,80.64,81.31,80.07,81.3,105425600.0
2020-02-07,80.59,80.85,79.5,80.01,117684048.0
2020-02-10,78.55,80.39,78.46,80.39,109348860.0
2020-02-11,80.9,80.97,79.68,79.9,94323200.0
2020-02-12,80.37,81.81,80.37,81.8,113730400.0
2020-02-13,81.05,81.56,80.84,81.22,94747600.0
2020-02-14,81.19,81.5,80.71,81.24,80113788.0
2020-02-18,78.84,79.94,78.65,79.75,152762180.0
2020-02-19,80.0,81.14,80.0,80.91,93984000.0
2020-02-20,80.66,81.16,79.55,80.08,100566000.0
2020-02-21,79.66,80.11,77.63,78.26,129705660.0
2020-02-24,74.32,76.05,72.31,74.55,222195312.0
2020-02-25,75.24,75.63,71.53,72.02,230673600.0
2020-02-26,71.63,74.47,71.63,73.16,198713724.0
2020-02-27,70.28,71.5,68.24,68.38,320605600.0
2020-02-28,64.32,69.6,64.09,68.34,426884920.0
2020-03-02,70.57,75.36,69.43,74.7,341397356.0
2020-03-03,75.92,76.0,71.45,72.33,319475600.0
2020-03-04,74.11,75.85,73.28,75.69,219178400.0
2020-03-05,73.88,74.89,72.85,73.23,187572876.0
2020-03-06,70.5,72.71,70.31,72.26,226176984.0
2020-03-09,65.94,69.52,65.75,66.54,286744832.0
2020-03-10,69.29,71.61,67.34,71.33,285290080.0
2020-03-11,69.35,70.31,67.97,68.86,256379880.0
2020-03-12,63.99,67.5,62.0,62.06,418474068.0
2020-03-13,66.22,69.98,63.24,69.49,370732128.0
2020-03-16,60.49,64.77,60.0,60.55,322423600.0
2020-03-17,61.88,64.4,59.6,63.22,324056000.0
2020-03-18,59.94,62.5,59.28,61.67,300233624.0
2020-03-19,61.85,63.21,60.65,61.2,271857200.0
2020-03-20,61.8,62.96,57.0,57.31,401693384.0
2020-03-23,57.02,57.12,53.15,56.09,336752832.0
2020-03-24,59.09,61.92,58.58,61.72,287531200.0
2020-03-25,62.69,64.56,61.08,61.38,303602040.0
2020-03-26,61.63,64.67,61.59,64.61,252560676.0
2020-03-27,63.19,63.97,61.76,61.94,204216800.0
2020-03-30,62.69,63.88,62.35,63.7,167976440.0
2020-03-31,63.9,65.62,63.0,63.57,197002004.0
2020-04-01,61.63,62.18,59.78,60.23,176218552.0
2020-04-02,60.09,61.29,59.23,61.23,165934000.0
2020-04-03,60.7,61.43,59.74,60.35,129880068.0
2020-04-06,62.73,65.78,62.35,65.62,201820400.0
